N°;Fecha;Medida;Actores;Lugar;Demanda
226;27/06/2025;Marcha;Madres de familia de la I.E. Jorge Chávez;Comas, Lima Metropolitana;"Exigen a la UGEL 04 - Comas la   instalación   de   módulos   y reconstrucción,      dados      los daños      causados      en      la infraestructura tras un sismo en
Lima."
227;27/06/2025;Bloqueo;Asociación    de     Mineros Artesanales                    de Chumbivilcas;Colquemarca, Chumbivilcas, Cusco;"Exigen     la     ampliación     del proceso      de      formalización minera y la aprobación de la ley
de Pequeña Minería y Minería Artesanal (Ley MAPE)"
228;27/06/2025;Concentración;A.H. Las Dalias;"Veintiséis de
Octubre, Piura, Piura";Exigen a la EPS Grau obras de saneamiento
229;27/06/2025;Marcha;"Comité      Colegiado      de Organizaciones        región Puno,            Coordinadora Nacional   Unitaria   región
Arequipa";Moquegua, Mariscal Nieto, Moquegua;Exigen    la    culminación    del Gasoducto   Sur   Andino   y   la masificación del gas vía ducto
230;28/06/2025;Marcha;Colectivos               LGTBI, sociedad civil;"Jesús María, Lima
Metropolitana";"Exigen    el    respeto    de    los derechos    de    la    población
LGBTI"
231;29/06/2025;Plantón dentro de instalaciones;Pacientes  del  Hospital  IV Augusto            Hernández Mendoza EsSalud;Ica, Ica;"Exigen  al  director  del  Hospital
IV        Augusto        Hernández
Mendoza  EsSalud  brindar  un adecuado servicio de salud"
232;29/06/2025;Marcha;Comunidad       campesina Ccollana;Quiñota, Chumbivilcas, Cusco;"Exigen  al  alcalde  distrital  de Quiñota  obras  en  favor  de  la población     local.     Asimismo, rechazan  presuntos  actos  de
corrupción durante su gestión"
233;30/06/2025;Marcha;Padres de familia de la I.E. Virgen    de    la    Medalla Milagrosa;Independencia, Lima Metropolitana;Exigen  el  desarrollo  de  clases presenciales    en    el    centro educativo
234;30/06/2025;Bloqueo;Confederación Nacional de la    Pequeña    Minería    y Minería Artesanal del Perú (Confemin),    trabajadores mineros del sur del Perú;Ocoña, Camaná, Arequipa;"Exigen     la     ampliación     del Registro          Integral          de Formalización Minera (Reinfo), aprobación de la nueva ley para la  pequeña  minería  y  minería artesanal         (MAPE),         la derogatoria       del       derecho supremo  nº  009-2025-EM  que reglamenta la ley nº 32213, la derogatoria  del  D.S.  nº  012- 2025-EM    que    establece    el
cierre      del      proceso      de formalización."
235;30/06/2025;Plantón;Sindicato de Empleados de Siderperú;Chimbote, Santa, Áncash;"Exigen a la empresa Siderperú el   respeto   de   sus   derechos laborales. Además, exigen a le empresa      la      emisión      de certificados   de   Alto   Riesgo, documentos       indispensables que permiten a los trabajadores acceder al régimen especial de
jubilación       minera,       según denuncian"
236;30/06/2025;Plantón;Federación    Peruana    de Vóley;"Jesús María,
Lima Metropolitana";"Denuncian            que            la
Municipalidad Distrital de Jesús María     ha     clausurado     las"
;;;;;"instalaciones   del   Coliseo   El
Olivar donde realizan prácticas"
237;30/06/2025;Plantón;"Sindicato  de  trabajadores
del  Gobierno  Regional  de Áncash";Huaraz, Huaraz, Áncash;"Exigen al Gobierno Regional de
Áncash      el      inicio      y      la culminación de obras"
238;30/06/2025;Plantón;"Sindicato      Unitario      de Trabajadores Administrativos de Centros
Educativos     e     Institutos Superiores (SUTACE)";Piura, Piura;Exigen  el  pago  de  beneficios sociales  al  Gobierno  Regional de Piura
239;30/06/2025;Toma de universidad;Federación de Estudiantes Universitarios       de       la Universidad   Nacional   de San    Antonio    Abad    del Cusco;Cusco, Cusco;"Exigen la entrega inmediata de los   carnéts   universitarios,   el cese     de     agresiones     del personal             administrativo, mejoras     urgentes     en     la residencia  estudiantil,  claridad sobre       el       proceso       de bachillerato                   2025-1,
transparencia           en           el nombramiento    de    docentes, atención      efectiva      a      las denuncias de acoso sexual en la  universidad,  habilitación  de cenas       en      el      comedor universitario,    mejora    en    la infraestructura         de         los laboratorios          y          mejor
funcionamiento de la Oficina de Control Interno (OCI)."
240;30/06/2025;Bloqueo;Confederación Nacional de Pequeña Minería y Minería Artesanal       del       Perú, trabajadores   mineros   del distrito de Quiruvilca;Quiruvilca, Santiago de Chuco, La Libertad;"Exigen     la     ampliación     del Registro          Integral          de Formalización Minera (Reinfo), aprobación de la nueva ley para la  pequeña  minería  y  minería artesanal         (MAPE),         la derogatoria       del       derecho supremo  nº  009-2025-EM  que reglamenta la ley nº 32213, la derogatoria  del  D.S.  nº  012- 2025-EM    que    establece    el cierre      del      proceso      de
formalización."
241;30/06/2025;Vigilia;Colectivos y trabajadoras;Huancayo, Huancayo, Junín;Rechaza   violencia   contra   la mujer
242;30/06/2025;Plantón;Comunidades  campesinas de      la      provincia      de Churcampa;Churcampa, Huancavelica;"Exigen     al     alcalde    de    la Municipalidad    Provincial    de Churcampa   la   ejecución   de obras      de      desarrollo      en beneficio  de  la  comunidades
campesinas de la provincia"
243;30/06/2025;Bloqueo;Padres de familia de la I.E. n° 601515 San Pablo de la Luz;San Juan Bautista, Maynas, Loreto;"Exigen    a    la    Municipalidad Distrital de San Juan Bautista la construcción     y     reparación urgente  del  cerco  perimétrico
del centro educativo"
244;30/06/2025;Concentración;Vecinos   del   A.H.   15   de marzo;Bellavista, Sullana, Piura;Exigen    justicia    para    joven agredido                 físicamente. Asimismo, exigen sanción para el presunto agresor
245;30/06/2025;Plantón;Padres de familia de la I.E. 88187 del C.P. Chalán;Conchucos, Pallasca, Áncash;Exigen    UGEL    Pallasca    la contratación de docentes
246;30/06/2025;Concentración;Vecinos del distrito de San Miguel;San Miguel, Lima Metropolitana;Rechazan     construcción     de Arena  Lima  en  Parque  de  las Leyendas
