N°;Fecha;Medida;Actores;Lugar;Demanda
52;9/06/2025;Concentración;"Frente de Defensa por los Intereses  y  Desarrollo  de Nasca,               Asociación Federación    Agropecuaria Provincia       de       Nasca, Asociación     de     Artistas
Plásticos Visuales";Nasca, Ica;Exigen     la     preservación     y respeto        de        la        zona arqueológica  de  las  líneas  de Nasca
53;9/06/2025;Plantón;Familiares de adulto mayor que fue atropellado;Arequipa, Arequipa;"Exigen      justicia      ante      la Municipalidad    Provincial    de
Arequipa  por  el  atropello  de adulto mayor"
54;9/06/2025;Plantón;Comité    de    gestión    del sector    Columbo,    barrio Pueblo Nuevo de la ciudad de Cajamarca;Cajamarca, Cajamarca;"Exigen    a    la    Municipalidad Provincial   de   Cajamarca   la ejecución    del    proyecto    de alcantarillado  que  estaría  con observaciones    técnicas    sin subsanar         desde         años
anteriores, según denuncian."
55;9/06/2025;Plantón;"Asociación     de     Deudos Quemados y Huérfanos de
Incendio de la Tragedia de Mesa Redonda";Cercado de Lima, Lima Metropolitana;Exigen      justicia      ante      la Defensoría del Pueblo
56;9/06/2025;Plantón;Comité          Local          de Administración   de   Salud (CLAS)             Algarrobos, vecinos de los AA.HH. Los Algarrobos y Las Dalias;Piura, Piura;"Exigen mejoras urgentes en la
infraestructura                      del Establecimiento  de  Salud  I-4 Los  Algarrobos,  así  como  el abastecimiento   adecuado   de medicamentos      e      insumos
médicos"
57;9/06/2025;Plantón;Población  local  del  distrito de Castilla, alcalde distrital de Castilla;Piura, Piura;"Exigen  a  la  Corte  Superior  de Justicia de Piura el inicio de la revisión   de   expedientes   de defensa  relacionados  con  un proceso     judicial     para     el
reconocimiento de la propiedad de sus predios"
58;9/06/2025;Plantón;Familiares    de    personas detenidas;Iquitos, Maynas, Loreto;"Exigen   la   liberación   de   sus familiares,   detenidos   por   el caso    de    malversación    de fondos   de   la   Municipalidad
Distrital de Pebas."
59;9/06/2025;Plantón;Población electoral;Julcamarca, Angaraes, Huancavelica;"Denuncian que no figuran en el padrón electoral para participar en   la   consulta   popular   de revocatoria   contra   el   alcalde
distrital."
60;9/06/2025;Plantón;Trabajadores                  de construcción civil;"Huacho,
Huaura, Lima Provincias";"Exigen    a    la    Municipalidad
Provincial de Huaura el pago de las valorizaciones."
61;9/06/2025;Concentración;A.H. Los Ángeles;"Chiclayo, Chiclayo,
Lambayeque";Exigen solución a la inundación por colapso de red de desagüe
62;10/06/2025;Plantón;Población local de Nasca;Nasca, Ica;"Exigen     la     preservación     y respeto        de        la        zona
arqueológica  de  las  líneas  de Nasca"
63;10/06/2025;Marcha;Población  local  del  distrito de Santa María del Valle;Huánuco, Huánuco;"Exigen al Gobierno Regional de Huánuco  solución  al  conflicto por   el   recurso   hídrico   entre
población del distrito de Umari y Santa María del Valle"
64;10/06/2025;Plantón;"Asociación de Productores Agropecuarios                  y Forestales   Virgen   de   la Natividad,   Asociación   de Productores            Madres Trabajadoras,  productoras que  participan  en  la  Feria Sabatina de la Chacra a la Olla  en  la  Alameda  de  la
República";Huánuco, Huánuco;Gobierno Regional de Huánuco el  respeto  de  los  derechos  de las    productoras    campesinas ante el anuncio de reubicación por la ejecución de un proyecto de mejora en la feria
65;10/06/2025;Plantón;Federación   Centro   Unión De      Trabajadores      Del Seguro Social. De Salud  - Essalud y bases;San Isidro, Lima Metropolitana;"Exigen a la Corporación Fonafe el     informe     económico     de Seguro   Social   de   Salud   del Perú - EsSalud y la defensa del
pliego de reclamos 2025."
66;10/06/2025;Marcha;Central  Única  Distrital  de Rondas           Campesinas Huarmaca;Huarmaca, Huancabamba, Piura;"Exigen    a    la    Municipalidad Distrital  de  Huarmaca mejoras en los servicios públicos, en la infraestructura        local,        y transparencia   y   rendición   de
cuentas      en      la      gestión municipal."
67;10/06/2025;Plantón;"Sindicato        Mixto        de Trabajadores                 del Programa     Nacional     de Centros     Juveniles     del Ministerio   de   Justicia   y
Derechos           Humanos,";Veintiséis de Octubre, Piura, Piura;Exigen  al  Programa  Nacional de     Centros     Juveniles     un incremento remunerativo
;;;"Sindicato  de  Trabajadores
del    Centro    Juvenil    de Diagnóstico                       y
Rehabilitación Miguel Grau";;
68;10/06/2025;Plantón;Sindicato  de  Trabajadores del    Centro    Juvenil    de Rehabilitación             José Quiñones Gonzales;Chiclayo, Chiclayo, Lambayeque;"Exigen  al  Programa  Nacional de     Centros     Juveniles     un incremento remunerativo, bono por canasta familiar, entre otras
demandas"
69;10/06/2025;Marcha;Padres de familia de la I.E. Gran  Unidad  Escolar  Inca Garcilaso de la Vega;Cusco, Cusco;"Rechazan posible retorno de ex director   del   centro   educativo
por     presuntos     actos     de corrupción, según denuncian"
70;10/06/2025;Concentración;Población        local        de Cajamarca;Cajamarca, Cajamarca;"Exigen  a  la  empresa  minera Michiquillay,   a   través   de   su
fondo social, la construcción de la I.E. n° 82154 Michiquillay"
71;10/06/2025;Plantón;Colectivos, población local;San Borja, Lima Metropolitana;"Exigen     la     preservación     y respeto        de        la        zona arqueológica  de  las  líneas  de
Nasca"
72;10/06/2025;Plantón;Asociaciones   de   mineros artesanales de la provincia de Pataz;Pataz, Pataz, La Libertad;"Exigen  a  la  empresa  minera Poderosa la instalación urgente de    una    mesa    de    diálogo. Asimismo, exigen a la PNP y el Ejército medidas más drásticas frente     al     incremento     de criminalidad       vinculada       a minería      ilegal      y      crimen
organizado."
